(1) CONTRACTOR/CARRIER	(2) LOCAL.	(3) HCPCS	(4) CONV FAC	(5) RVU	(6) GPCI	(7) BASE RATE & URBAN MILEAGE	(7)(a) RURAL BASE RATE & RURAL MILEAGE	(7)(b) RURAL BASE RATE - LOWEST QUARTILE*	(8) RURAL BASE/MILES 1-17*	
00953	01	A0427	209.65	1.90	1.040	$417.68	$421.77	$517.09	n/a	
00953	01	A0428	209.65	1.00	1.040	$219.83	$221.99	$272.16	n/a	
00953	01	A0429	209.65	1.60	1.040	$351.73	$355.18	$435.45	n/a	
00953	01	A0430	1.00	1.00	1.040	"$2,902.04"	"$4,353.06"	n/a	"$4,353.06"	
00953	01	A0431	1.00	1.00	1.040	"$3,374.05"	"$5,061.07"	n/a	"$5,061.07"	
00953	01	A0432	209.65	1.75	1.040	$384.70	$388.48	n/a	n/a	
00953	01	A0433	209.65	2.75	1.040	$604.53	$610.46	$748.42	n/a	
00953	01	A0434	209.65	3.25	1.040	$714.45	$721.45	$884.50	n/a	
00953	01	A0435	1.00	1.00	1.040	$8.07	$12.11	n/a	$12.11	
00953	01	A0436	1.00	1.00	1.040	$21.53	$32.30	n/a	$32.30	
