(1) CONTRACTOR/CARRIER	(2) LOCAL.	(3) HCPCS	(4) BASE RATE	(5) RVU	(6) GPCI	(7)(a) URBAN BASE RATE / URBAN MILEAGE	(7)(b) RURAL BASE RATE / RURAL MILEAGE	(7c) RURAL BASE RATE / LOWEST QUARTILE	(8) RURAL  GROUND MILES 1-17*	
Mississippi										
00952	99	A0431	3304.58	1.00	0.941	"$3,207.09"	"$4,810.64"	n/a	"$4,810.64"	
00952	99	A0432	209.44	1.75	0.941	$358.41	$361.92	n/a	n/a	
00952	99	A0433	209.44	2.75	0.941	$563.22	$568.74	$697.27	n/a	
00952	99	A0434	209.44	3.25	0.941	$665.62	$672.14	$824.05	n/a	
00952	99	A0435	8.06	1.00	0.941	$8.06	$12.09	n/a	$12.09	
00952	99	A0436	21.51	1.00	0.941	$21.51	$32.27	n/a	$32.27	
Michigan										
00953	01	A0425	6.73	1.00	1.026	$6.86	$6.93	n/a	$10.40	
00953	01	A0426	209.44	1.20	1.026	$261.02	$263.58	$323.15	n/a	
00953	01	A0427	209.44	1.90	1.026	$413.28	$417.33	$511.65	n/a	
00953	01	A0428	209.44	1.00	1.026	$217.52	$219.65	$269.29	n/a	
00953	01	A0429	209.44	1.60	1.026	$348.03	$351.44	$430.86	n/a	
00953	01	A0430	2842.29	1.00	1.026	"$2,879.24"	"$4,318.86"	n/a	"$4,318.86"	
00953	01	A0431	3304.58	1.00	1.026	"$3,347.54"	"$5,021.31"	n/a	"$5,021.31"	
00953	01	A0432	209.44	1.75	1.026	$380.65	$384.39	n/a	n/a	
00953	01	A0433	209.44	2.75	1.026	$598.17	$604.04	$740.55	n/a	
00953	01	A0434	209.44	3.25	1.026	$706.93	$713.86	$875.19	n/a	
00953	01	A0435	8.06	1.00	1.026	$8.06	$12.09	n/a	$12.09	
00953	01	A0436	21.51	1.00	1.026	$21.51	$32.27	n/a	$32.27	
00953	99	A0425	6.73	1.00	0.960	$6.86	$6.93	n/a	$10.40	
00953	99	A0426	209.44	1.20	0.960	$249.18	$251.62	$308.49	n/a	
00953	99	A0427	209.44	1.90	0.960	$394.53	$398.40	$488.44	n/a	
00953	99	A0428	209.44	1.00	0.960	$207.65	$209.68	$257.07	n/a	
00953	99	A0429	209.44	1.60	0.960	$332.24	$335.49	$411.31	n/a	
00953	99	A0430	2842.29	1.00	0.960	"$2,785.44"	"$4,178.17"	n/a	"$4,178.17"	
00953	99	A0431	3304.58	1.00	0.960	"$3,238.49"	"$4,857.73"	n/a	"$4,857.73"	
00953	99	A0432	209.44	1.75	0.960	$363.38	$366.95	n/a	n/a	
00953	99	A0433	209.44	2.75	0.960	$571.03	$576.63	$706.95	n/a	
00953	99	A0434	209.44	3.25	0.960	$674.85	$681.47	$835.48	n/a	
00953	99	A0435	8.06	1.00	0.960	$8.06	$12.09	n/a	$12.09	
00953	99	A0436	21.51	1.00	0.960	$21.51	$32.27	n/a	$32.27	
Minnesota										
00954	00	A0425	6.73	1.00	0.994	$6.86	$6.93	n/a	$10.40	
00954	00	A0426	209.44	1.20	0.994	$255.28	$257.78	$316.04	n/a	
00954	00	A0427	209.44	1.90	0.994	$404.19	$408.15	$500.40	n/a	
00954	00	A0428	209.44	1.00	0.994	$212.73	$214.82	$263.37	n/a	
00954	00	A0429	209.44	1.60	0.994	$340.37	$343.71	$421.39	n/a	
00954	00	A0430	2842.29	1.00	0.994	"$2,833.76"	"$4,250.64"	n/a	"$4,250.64"	
00954	00	A0431	3304.58	1.00	0.994	"$3,294.67"	"$4,942.00"	n/a	"$4,942.00"	
00954	00	A0432	209.44	1.75	0.994	$372.28	$375.93	n/a	n/a	
00954	00	A0433	209.44	2.75	0.994	$585.01	$590.75	$724.26	n/a	
00954	00	A0434	209.44	3.25	0.994	$691.38	$698.16	$855.94	n/a	
00954	00	A0435	8.06	1.00	0.994	$8.06	$12.09	n/a	$12.09	
00954	00	A0436	21.51	1.00	0.994	$21.51	$32.27	n/a	$32.27	
Northern California										
01102	03	A0425	6.73	1.00	1.272	$6.86	$6.93	n/a	$10.40	
01102	03	A0426	209.44	1.20	1.272	$305.16	$308.16	$377.80	n/a	
01102	03	A0427	209.44	1.90	1.272	$483.18	$487.91	$598.18	n/a	
01102	03	A0428	209.44	1.00	1.272	$254.30	$256.80	$314.83	n/a	
01102	03	A0429	209.44	1.60	1.272	$406.89	$410.88	$503.73	n/a	
01102	03	A0430	2842.29	1.00	1.272	"$3,228.84"	"$4,843.26"	n/a	"$4,843.26"	
01102	03	A0431	3304.58	1.00	1.272	"$3,754.00"	"$5,631.00"	n/a	"$5,631.00"	
01102	03	A0432	209.44	1.75	1.272	$445.03	$449.39	n/a	n/a	
01102	03	A0433	209.44	2.75	1.272	$699.34	$706.19	$865.79	n/a	
01102	03	A0434	209.44	3.25	1.272	$826.49	$834.59	"$1,023.21"	n/a	
